FIPS,SES,pm25
1001,Q2,6.94277825833759
1003,Q2,5.83770358880245
1005,Q5,6.33994082626066
1009,Q2,7.89720046281604
1011,Q5,7.17126594601172
1013,Q5,6.01373121018502
1015,Q5,7.40610977690243
1017,Q5,6.8658986761613
1021,Q4,6.72057745561301
1023,Q5,5.83413017555467
1025,Q5,5.83357039481346
1027,Q5,6.59932249132937
1031,Q4,6.39654827166127
1033,Q4,7.09804773218403
1039,Q4,6.23926478454699
1043,Q4,7.83511806940957
1045,Q4,6.48650048095072
1047,Q5,6.25454165024869
1049,Q4,7.57602461092588
1051,Q3,6.8724086801376
1053,Q5,6.33914965848737
1055,Q4,7.5601635745378
1059,Q4,6.55221974412353
1061,Q4,6.81392912910177
1065,Q5,6.24979168334556
1067,Q4,6.44203938639604
1069,Q4,6.75790809875587
1071,Q4,7.11755019465772
1073,Q5,8.74485307875156
1075,Q4,6.44068447177328
1077,Q4,7.41768289277623
1079,Q3,7.29381905646232
1081,Q4,6.61911687931426
1083,Q3,7.88369230496285
1087,Q5,6.78517924021507
1089,Q3,7.65848018316075
1091,Q5,6.06872591168583
1093,Q4,6.33257460460473
1095,Q4,7.57830419687227
1097,Q5,6.4521158784447
1099,Q5,5.9122093855359
1101,Q5,6.8560110430348
1103,Q4,7.87040276429898
1105,Q5,6.19698772580741
1109,Q5,6.28794406790094
1111,Q4,6.74593308578078
1113,Q5,6.64141033979652
1115,Q2,7.78392185675734
1117,Q1,8.09083196879007
1121,Q5,7.17245170051374
1123,Q4,6.4656126637243
1125,Q4,6.78253230094122
1127,Q4,7.41252711589539
1129,Q4,5.87565624888311
1131,Q5,5.98668490599842
1133,Q4,6.73188925891755
4001,Q5,2.64411441221791
4003,Q4,2.71976096593235
4005,Q4,2.68949361149383
4007,Q3,2.86676434341267
4011,Q3,2.97964599857908
4012,Q3,2.84578967067678
4013,Q3,4.62845914663208
4015,Q3,2.82881101135363
4017,Q5,2.6758897556882
4019,Q4,3.64564123045363
4021,Q3,3.57486791972137
4023,Q5,2.75964097745615
4025,Q2,2.98179678339999
5001,Q4,6.64952793217345
5003,Q4,6.03328284849473
5005,Q3,5.59864131964222
5007,Q2,6.2311095860685
5009,Q3,5.60026626443396
5015,Q4,5.8180983392707
5017,Q5,6.40109101818168
5019,Q4,5.88036335452276
5021,Q4,7.00357873285701
5023,Q3,6.0638540004657
5027,Q5,5.92179823582563
5029,Q3,6.42395973654679
5031,Q5,7.14493929334909
5033,Q4,6.06924301408524
5035,Q5,7.29403891677463
5039,Q5,5.99157885870444
5045,Q3,6.8012872108224
5047,Q4,5.7838011354009
5049,Q3,5.72529211275797
5051,Q4,5.96639069636685
5055,Q4,7.03793423386818
5057,Q5,5.98774943146897
5059,Q3,6.14480407072166
5061,Q5,5.89728787887953
5063,Q4,6.29750359866569
5069,Q5,6.69254409174674
5071,Q4,5.74126619103863
5075,Q5,6.62827178449807
5079,Q5,6.32302570982847
5081,Q4,6.41477011696871
5083,Q3,5.80362615315221
5085,Q3,7.01198409059228
5089,Q3,5.52381256257596
5091,Q5,6.46984607856584
5093,Q5,7.08249618702201
